,sample,r,g,b,closest color
0,SAP1,177.1136168,146.541062,130.603466,chalky white
1,SAP1,176.8989452,146.2074586,130.2111907,chalky white
2,SAP2,140.08046,94.87857407,90.22827953,light brown
3,SAP2,139.319698,94.01037684,89.22490829,light brown
4,SAP3,169.067009,131.8964074,110.9051017,yellow
5,SAP3,168.8638085,131.4986103,110.4002744,yellow
6,SAP7,175.7829404,143.8757638,130.274484,cream
7,SAP7,176.1312847,144.275859,130.6889322,cream
8,SAP8,168.7658772,140.6292218,131.3614696,cream
9,SAP8,168.6127764,140.4364627,131.0888931,cream
10,SAP9,165.2088674,133.1913257,121.1311893,cream
11,SAP9,165.4700068,133.5206474,121.516952,cream
12,SAP10,159.9020247,112.4187656,97.00277872,yellow
13,SAP10,160.2032058,112.8894253,97.58159781,yellow
14,SAP11,184.6921346,152.335164,134.1899254,pearl
15,SAP11,184.6882246,152.3897136,134.369652,pearl
16,SAP12,162.8316647,110.8530129,94.63540834,yellow
17,SAP12,162.879198,111.3564013,95.22776932,yellow
18,SAP13,136.775171,81.85343344,72.3484126,red
19,SAP13,137.4520798,82.61863303,73.15449319,red
20,SAP14,178.8970656,153.1646177,140.3618475,pearl
21,SAP14,178.6500815,152.8094532,139.92278,pearl
22,SAP15,152.7117944,97.3221217,88.8975321,light brown
23,SAP15,152.0177196,96.55343668,88.04937521,light brown
24,SAP16,161.1608953,101.2772843,91.91366848,light brown
25,SAP16,161.5630321,101.7212964,92.14797439,light brown
26,SAP17,142.6943468,89.68602886,76.18862954,red
27,SAP17,141.8360071,88.72489536,75.08671829,red
28,SAP18,182.6934979,152.5365158,135.2282627,pearl
29,SAP18,183.26228,153.4297486,136.4025984,pearl
30,SAP19,149.263625,93.25888295,78.1030544,red
31,SAP19,148.8942259,92.65079649,77.27562575,red
32,SAP20,120.4367674,73.26967956,62.96623414,dark brown
33,SAP20,119.8688242,72.85856875,62.68904556,dark brown
34,SAP21,175.2324259,144.7245189,133.384737,chalky white
35,SAP21,175.4990686,145.0930018,133.8551065,chalky white
36,SAP22,161.4000741,101.7329556,91.60620315,light brown
37,SAP22,161.3063877,101.5193401,91.26738965,light brown
38,SAP23,149.370558,94.76278994,81.87944058,light brown
39,SAP23,149.3858126,95.01345444,82.3654892,light brown
40,SAP24,176.1463514,146.320747,130.0617959,chalky white
41,SAP24,176.8813909,147.3669359,131.3405972,chalky white
42,SAP25,162.4166549,109.7735266,93.6363437,yellow
43,SAP25,162.7669064,110.2778826,94.33081293,yellow
44,SAP26,118.547537,64.30976252,58.13635117,dark brown
45,SAP26,118.0880509,63.73281237,57.38467455,dark brown
46,SAP27,165.7192836,108.3188157,94.61484112,yellow
47,SAP27,165.9373935,108.7717754,95.17550204,yellow
48,SAP28,172.8345808,142.3469281,129.3964594,cream
49,SAP28,172.4846837,142.0314727,129.095579,cream
50,SAP29,107.2206893,61.56761333,61.1150417,dark brown
51,SAP29,106.6513745,60.69829803,60.10313813,dark brown
52,SAP30,181.2745582,145.3803079,132.5247873,chalky white
53,SAP30,181.3010067,145.4088209,132.503455,chalky white
54,SAP31,137.5774524,83.85943422,70.6695635,red
55,SAP31,137.3005404,83.26578419,69.90021585,red
56,SAP32,170.395924,139.3828465,124.9334184,cream
57,SAP32,170.7514479,139.8015078,125.4703608,cream
58,SAP33,128.6853276,79.2793612,67.08531349,dark brown
59,SAP33,126.0145449,78.61572634,68.0368904,dark brown
60,SAP34,168.4842119,117.1807527,104.9516411,yellow
61,SAP34,168.3441349,116.8112756,104.4595887,yellow
62,SAP35,186.9428229,156.9543393,138.987178,white
63,SAP35,186.7511429,156.5150655,138.3756332,white
64,SAP36,137.9803204,89.90743385,80.57327888,red
65,SAP36,137.4169964,89.31875633,79.68276736,red
66,SAP37,179.173047,158.0502095,146.5539885,white
67,SAP37,179.3392338,158.304817,146.849399,white
68,SAP38,129.2072024,82.24015122,68.86157508,dark brown
69,SAP38,129.6001266,82.88992602,69.60458013,dark brown
70,SAP39,109.0413293,67.65726128,56.6709197,dark brown
71,SAP39,109.5502153,68.40215339,57.67939712,dark brown
72,SAP40,169.9046308,137.6261048,123.7522746,cream
73,SAP40,170.290211,138.1763089,124.3591526,cream
74,SAP41,147.5356464,95.61502881,82.22547409,light brown
75,SAP41,146.811803,94.65935206,81.18351525,light brown
76,SAP42,183.1597058,155.6580735,143.6226775,pearl
77,SAP42,182.9612972,155.3446985,143.3394142,pearl
78,SAP43,165.9721716,138.4517764,133.5042909,cream
79,SAP43,165.2974142,137.7139837,132.8140317,cream
80,SAP44,131.4612175,79.369139,70.15312419,dark brown
81,SAP44,131.995343,80.04416714,71.01995496,dark brown
82,SAP45,161.7076976,119.7746683,94.42247283,yellow
83,SAP45,161.3929459,119.3278336,93.93601499,yellow
84,SAP46,176.4136118,147.1445723,133.4793795,chalky white
85,SAP46,176.7587657,147.5912084,133.8829201,chalky white
86,SAP47,172.5232718,141.9811358,125.2556203,cream
87,SAP47,173.0445458,142.5685688,125.8392658,cream
88,SAP48,150.0855149,87.52443193,76.95553761,red
89,SAP48,150.5565427,88.17066433,77.77509173,red
90,SAP49,152.0201332,110.4305224,86.49752614,light brown
91,SAP49,151.1958547,109.5950726,85.39348428,light brown
92,SAP50,118.690453,70.51797366,68.15712838,dark brown
93,SAP50,117.8990985,69.55648885,67.02525688,dark brown
94,SAP51,153.2951035,106.5016037,82.68360973,light brown
95,SAP51,153.0613733,106.0760299,81.97483227,light brown
96,SAP52,157.5231293,132.017177,122.8084872,cream
97,SAP52,155.3364509,130.0097595,120.9333023,yellow
98,SAP53,179.6436416,155.0439702,143.4374586,pearl
99,SAP53,180.2080772,155.6410427,144.0698297,pearl
100,SAP54,165.2991724,135.339336,123.5782491,cream
101,SAP54,165.0669004,135.0011974,123.1229862,cream
102,SAP55,163.7608679,117.2706131,93.77854131,yellow
103,SAP55,163.9875731,117.6808292,94.49852536,yellow
104,SAP56,159.9978664,127.4542186,108.8020022,yellow
105,SAP56,160.5730024,128.2002311,109.6849766,yellow
106,SAP57,136.8817741,76.57854826,64.20344814,dark brown
107,SAP57,137.2279598,77.14359902,64.95285675,dark brown
108,SAP58,176.0822423,144.7419799,131.2335382,chalky white
109,SAP58,175.4345876,144.0273501,130.4687046,cream
110,SAP59,164.9770205,131.9663067,116.8816203,cream
111,SAP59,165.5228963,132.6584039,117.6623078,cream
112,SAP60,167.1137553,141.5799602,130.8836228,cream
113,SAP61,166.9244617,126.2022687,99.75968349,yellow
114,SAP61,166.9174951,126.3016103,99.98759238,yellow
115,SAP62,152.861744,88.16144371,78.40701563,red
116,SAP62,151.8718243,87.17116474,77.12486205,red
117,SAP63,131.9092697,70.7377608,61.06253542,dark brown
118,SAP63,132.1849332,71.31475736,61.82593115,dark brown
119,SAP64,150.1149532,95.58914306,78.20923188,light brown
120,SAP64,149.800205,95.0835012,77.40089753,red
121,SAP65,159.3663558,119.7966349,106.4214029,yellow
122,SAP66,175.2163707,146.9027066,133.4215619,chalky white
123,SAP66,175.0019148,146.557706,133.0407962,chalky white
124,SAP67,159.1416857,121.6532396,107.8859115,yellow
125,SAP67,159.3790769,122.1482123,108.5294991,yellow
126,SAP68,142.9468803,98.97908538,93.51200885,light brown
127,SAP68,142.4411834,98.30438262,92.78310614,light brown
128,SAP69,177.0502962,148.3531547,134.9186499,chalky white
129,SAP69,177.2618282,148.6250776,135.2885605,chalky white
130,SAP70,171.2070615,139.2734014,125.2791267,cream
131,SAP70,171.6750287,139.7387432,125.6668702,cream
132,SAP71,169.2438999,127.3486438,97.27942321,yellow
133,SAP71,169.029972,126.8858683,96.55764473,yellow
134,SAP72,121.0505441,70.18936876,63.71457476,dark brown
135,SAP72,121.4564087,70.91197462,64.56043969,dark brown
136,SAP73,188.3868564,160.6180429,145.4699548,white
137,SAP73,187.46711,159.3075171,144.0426807,white
138,SAP74,123.3308924,73.26830795,67.07100509,dark brown
139,SAP74,123.654015,72.74744419,65.98648421,dark brown
140,SAP75,133.9042157,72.13521704,63.47340356,dark brown
141,SAP75,134.1199973,73.31663282,64.14951559,dark brown
142,SAP76,177.4700256,145.3374657,128.9558237,cream
143,SAP76,177.7203418,145.695257,129.4387234,cream
144,SAP77,121.0948405,75.23388246,68.26530538,dark brown
145,SAP77,120.6591739,74.77032165,67.73226547,dark brown
146,SAP78,175.5924944,151.8590755,143.6822233,pearl
147,SAP78,175.8185585,152.2041189,144.0918973,pearl
148,SAP79,177.288298,148.3737901,133.452687,chalky white
149,SAP79,177.7557712,148.8851216,133.9322854,chalky white
150,SAP80,183.7217884,157.3119442,141.0790631,white
151,SAP80,183.8460056,157.4828605,141.3359936,white
152,SAP81,174.0782339,143.8418045,127.5178472,cream
153,SAP81,173.8062206,143.5053158,127.1251811,cream
154,SAP82,196.1048672,176.716901,166.5484342,white
155,SAP82,195.8245911,176.6433572,166.6569179,white
156,SAP83,187.0242395,163.430939,149.9764035,white
157,SAP83,187.2224497,163.7003475,150.2681574,white
158,SAP84,184.1351597,154.1493891,138.8691283,pearl
159,SAP84,184.5000226,154.5504642,139.3325308,pearl
160,SAP85,186.5838808,162.0208357,148.2437332,white
161,SAP85,186.2942303,161.6997078,147.7788652,white
162,SAP86,171.2495737,137.9694362,122.0835175,cream
163,SAP86,172.0438008,138.7110632,122.8231299,cream
164,SAP87,175.8272647,142.5276814,125.8715284,cream
165,SAP87,175.79527,142.6050308,126.0110802,cream
166,SAP88,187.6541522,161.8306912,147.9656804,white
167,SAP88,187.3776504,161.4719545,147.5818378,white
168,SAP89,166.6358162,135.6548475,119.7935258,cream
169,SAP89,166.3085456,135.2360243,119.2090276,cream
170,SAP90,158.1743971,91.63219258,81.39738983,light brown
171,SAP90,157.8497789,91.02942493,80.65426238,light brown
172,SAP91,150.3751449,84.32227174,71.54546294,red
173,SAP91,151.2950934,85.68083956,72.61891808,red
174,SAP92,164.9070341,123.5568328,99.65365078,yellow
175,SAP92,165.2271503,124.0919867,100.4113227,yellow
176,SAP93,163.5506208,123.8768459,99.12025621,yellow
177,SAP93,163.9370847,124.3534692,99.82703474,yellow
178,SAP94,163.2313221,119.3522252,106.3999759,yellow
179,SAP94,163.0646944,119.1021346,106.0849176,yellow
180,SAP95,123.2039707,70.09958627,61.76851102,dark brown
181,SAP95,123.6977143,70.93128868,62.89782792,dark brown
182,SAP96,145.4049746,102.2858076,88.6341736,light brown
183,SAP96,144.9023865,101.4723634,87.72457807,light brown
184,SAP97,177.4477072,148.6187536,135.4882639,chalky white
185,SAP97,177.0536656,148.1990771,135.114874,chalky white
186,SAP98,149.1972049,113.3919062,107.3173928,yellow
187,SAP98,148.7559173,112.8693949,106.7355937,yellow
188,SAP99,102.6195509,60.11033181,62.39105768,dark brown
189,SAP99,102.9877436,60.67473545,62.97421901,dark brown
190,SAP100,184.4614375,162.6817798,153.6820692,white
191,SAP100,184.7108976,162.9348599,154.0330982,white
192,SAP101,165.7434941,136.4024563,123.51458,cream
193,SAP101,165.6717018,136.335076,123.4023656,cream
194,SAP102,107.9214136,64.85421293,62.74758841,dark brown
195,SAP102,107.4473192,64.08109118,61.77551596,dark brown
196,SAP103,157.1417866,112.8695317,98.26256288,yellow
197,SAP103,157.5441128,113.3795084,98.93780955,yellow
198,SAP104,119.016462,72.46596696,65.37057794,dark brown
199,SAP104,119.8574099,72.06863494,64.57770222,dark brown
200,SAP105,120.716652,77.47881336,66.84917362,dark brown
201,SAP105,120.4046543,76.84910716,66.02602557,dark brown
202,SAP106,147.0284638,95.49999585,73.83676937,red
203,SAP106,147.716404,96.35728997,74.99556604,red
204,SAP107,121.2563841,68.77602648,66.10930801,dark brown
205,SAP107,121.5755093,69.27258929,66.79043779,dark brown
206,SAP108,149.5387626,95.75433878,86.88408349,light brown
207,SAP108,148.8783346,94.94730206,86.00387235,light brown
208,SAP109,133.0643875,80.19970835,66.86403356,dark brown
209,SAP109,133.4415752,80.70839656,67.53563622,dark brown
210,SAP110,184.3638084,154.3440167,140.6448194,pearl
211,SAP110,184.0294877,154.0910744,140.5574158,pearl
212,SAP111,183.3796223,158.7288048,146.7096288,white
213,SAP111,183.1814766,158.4722219,146.3342054,white
214,SAP112,170.425172,135.3986618,116.009354,cream
215,SAP112,170.4432662,135.328785,115.7172434,cream
216,SAP113,188.634804,167.4673163,158.7846594,white
217,SAP113,188.7715443,167.638238,159.0267206,white
218,SAP114,146.5792769,89.91280051,79.41579632,red
219,SAP114,146.2070962,89.38200166,78.75911935,red
220,SAP115,118.7767729,72.28422825,67.03587003,dark brown
221,SAP115,119.5479026,73.47977388,68.79213012,dark brown
222,SAP116,142.5980046,85.45690235,70.73012886,red
223,SAP116,143.0566833,86.14769136,71.43832188,red
224,SAP117,123.6924853,71.50078456,67.3628764,dark brown
225,SAP117,123.6306009,71.69948057,67.62819992,dark brown
226,SAP118,149.784619,96.55085102,79.1737716,light brown
227,SAP118,149.415208,96.09957035,78.51091245,light brown
228,SAP119,149.8821712,91.68910388,81.32402973,red
229,SAP119,150.2020207,92.16798946,81.85811146,red
230,SAP120,169.5037587,137.4300489,121.5069474,cream
231,SAP120,169.8292179,137.830539,121.9711854,cream
232,SAP121,118.5313654,69.26666571,66.35665845,dark brown
233,SAP121,119.3186099,69.32172376,66.3862298,dark brown
234,SAP122,169.5182118,137.5433287,121.5883044,cream
235,SAP122,169.7433768,137.9024883,122.1888058,cream
236,SAP123,177.8539585,147.8083073,135.7931733,chalky white
237,SAP123,177.430974,147.3190262,135.2408878,chalky white
238,SAP124,165.5799716,118.5107419,100.3964301,yellow
239,SAP124,165.2918726,118.0380479,99.81142328,yellow
240,SAP125,136.9883,84.87839921,78.13874103,red
241,SAP125,137.4135102,85.47707244,78.85581799,red
242,SAP126,181.7211734,154.0268486,140.9611176,pearl
243,SAP126,181.4825925,153.7302517,140.5685312,pearl
244,SAP127,175.6915648,145.2538621,132.6349144,chalky white
245,SAP127,175.310019,144.4334509,131.8781209,chalky white
246,SAP128,154.8822203,100.9881584,83.00746776,light brown
247,SAP128,155.5683047,101.8222364,83.96002123,light brown
248,SAP129,158.3345376,110.0178325,91.19825349,light brown
249,SAP129,158.6931011,110.5158671,91.7705013,light brown
250,SAP130,147.1215832,88.1050762,76.07114049,red
251,SAP130,146.7253892,87.40488059,75.22385854,red
252,SAP131,170.6202638,139.2884759,122.5738207,cream
253,SAP131,170.2848733,138.8410026,122.0827247,cream
254,SAP132,156.9016287,116.1316873,90.83725938,yellow
255,SAP132,157.2528756,116.6667047,91.39482126,yellow
256,SAP133,158.6751464,107.8876521,86.43204661,light brown
257,SAP133,159.0110669,108.4796821,87.20238527,light brown
258,SAP134,191.4261255,171.45055,161.5403936,white
259,SAP134,191.6703817,171.711296,161.907982,white
260,SAP135,136.472507,81.18812166,65.8157008,dark brown
261,SAP135,135.8891241,80.41982395,64.93150567,dark brown
262,SAP136,170.5071076,131.6389114,87.77706508,yellow
263,SAP136,170.8206698,132.1103075,88.46159409,yellow
264,SAP137,179.1519381,149.9059673,134.6089927,chalky white
265,SAP137,179.1075896,149.9747771,134.8012051,chalky white
266,SAP138,167.7608743,136.4421445,122.4317104,cream
267,SAP138,167.4863872,136.069865,121.9340316,cream
268,SAP139,165.8562624,122.2041088,100.5999021,yellow
269,SAP139,165.6176012,121.8619513,100.0252978,yellow
270,SAP140,177.5276647,145.8982246,131.7372012,chalky white
271,SAP140,177.0636122,145.5389144,131.3612329,chalky white
272,SAP141,139.7060774,63.50999848,61.13102177,dark brown
273,SAP141,140.0351585,64.20800792,61.86317656,dark brown
274,SAP142,181.9978072,158.6715061,148.3664746,white
275,SAP142,181.824768,158.4638876,148.0641908,white
276,SAP143,153.2319463,82.28655822,73.60070198,red
277,SAP143,152.7817605,81.62933528,72.82776037,red
278,SAP144,171.4523246,126.5414671,114.052888,yellow
279,SAP144,172.4758247,127.5096408,115.0564378,yellow
280,SAP145,160.1037047,92.35258098,80.63479099,light brown
281,SAP145,159.6170214,91.15860625,79.21392336,light brown
282,SAP146,169.9987285,128.71574,103.9687218,yellow
283,SAP146,170.0755627,128.6556378,103.6789493,yellow
284,SAP147,181.4905453,154.6905904,142.3046028,pearl
285,SAP147,181.2346039,154.368852,141.8958616,pearl
286,SAP148,168.0884736,128.078541,106.2164856,yellow
287,SAP148,168.3467865,128.4607439,106.7336048,yellow
288,SAP149,157.038994,116.6784482,96.2898098,yellow
289,SAP149,156.8050491,116.1702568,95.71027738,yellow
290,SAP150,136.5796847,79.96766105,70.11660306,red
291,SAP150,136.8394307,80.31929445,70.50654031,red
292,SAP151,174.4569652,137.8350254,124.4130081,cream
293,SAP151,174.7689399,138.2593473,124.9120782,cream
294,SAP152,164.9683321,129.7535145,117.7190395,yellow
295,SAP152,164.6850173,129.35767,117.2949504,yellow
296,SAP153,167.2568645,118.6165223,97.62724057,yellow
297,SAP153,166.7303799,117.4874902,96.15882541,yellow
298,SAP154,157.1616271,106.7163904,89.63070765,light brown
299,SAP154,156.8891062,106.2419159,88.99051645,light brown
300,SAP155,176.6687551,134.6540486,117.0177918,cream
301,SAP155,176.9581493,135.0655206,117.5563011,cream
302,SAP156,165.7247166,125.803495,107.4613406,yellow
303,SAP156,165.9693549,126.0814572,107.9515427,yellow
304,SAP157,154.6378091,101.9396768,80.05810054,light brown
305,SAP157,154.3356605,101.4085301,79.28970291,light brown
306,SAP158,137.7198046,83.5419726,69.46902915,red
307,SAP158,138.5715415,84.22566312,70.2908022,red
308,SAP159,175.9887596,146.3849224,131.8555737,chalky white
309,SAP159,175.9687057,146.4418994,132.0038336,chalky white
310,SAP161,119.2230437,65.4698648,61.86679033,dark brown
311,SAP162,119.5419076,69.93746722,60.8795781,dark brown
312,SAP162,119.8677322,70.62231136,61.82559924,dark brown
313,SAP163,117.1921168,70.94368669,63.47277816,dark brown
314,SAP163,116.8937455,72.19854085,65.82566443,dark brown
315,SAP164,114.8774907,65.76792959,60.86145417,dark brown
316,SAP164,113.9129686,64.55287485,59.59409981,dark brown
317,SAP165,147.1793561,91.48238514,82.06352145,red
318,SAP165,146.877599,90.8257053,81.30241587,red
319,SAP166,151.1643075,92.73285225,83.32416255,light brown
320,SAP166,151.5740896,93.10881867,83.80014592,light brown
321,SAP167,167.3069439,130.3886343,96.2949799,yellow
322,SAP167,167.9270725,131.1706986,96.90471894,yellow
323,SAP168,174.8859051,139.6010236,120.8008415,cream
324,SAP168,174.5770981,139.1486984,120.2679825,cream
325,SAP169,165.6046676,129.7400306,109.2647456,yellow
326,SAP169,165.1007531,129.0638805,108.7757762,yellow
327,SAP170,156.8437662,110.6593237,90.3123715,light brown
328,SAP170,157.7288748,111.5295326,91.24793619,light brown
329,SAP171,152.6930343,102.5522354,93.61065661,light brown
330,SAP171,153.4005881,103.3760025,94.46458122,light brown
331,SAP172,122.5559995,73.20757802,70.46451502,dark brown
332,SAP172,121.6965018,71.9479043,69.46528807,dark brown
333,SAP173,160.5681694,95.4041978,85.98698766,light brown
334,SAP173,159.9785916,94.71309881,85.1704591,light brown
335,SAP174,115.3345153,70.70558014,68.53430179,dark brown
336,SAP174,114.590469,70.01038003,67.88086386,dark brown
337,SAP175,113.4868491,73.37182534,69.80278816,dark brown
338,SAP176,169.5674991,138.2088159,122.6165851,cream
339,SAP176,169.3254479,138.0257089,122.4515958,cream
340,SAP177,182.8865561,149.9416372,133.4989011,chalky white
341,SAP177,184.9299704,152.5699442,137.3434798,pearl
342,SAP178,151.461556,102.0834043,71.16106676,light brown
343,SAP178,151.79508,102.5152976,71.7432439,light brown
344,SAP179,113.0878842,68.79271474,65.2773759,dark brown
345,SAP179,112.6368355,68.07041527,64.37648429,dark brown
346,SAP180,149.8873875,86.93668846,70.71968694,red
347,SAP180,149.6402602,86.55479335,70.2387619,red
348,SAP181,185.6202788,156.9110672,140.7510457,white
349,SAP181,185.3100469,156.5258631,140.2949962,white
350,SAP182,155.478266,105.1834866,92.50194518,light brown
351,SAP182,153.4216751,102.5746184,89.56601018,light brown
352,SAP183,183.2745981,155.9965772,140.6323016,pearl
353,SAP183,183.3357656,156.3294061,141.2485921,pearl
354,SAP184,162.3523832,133.6192825,113.1523304,yellow
355,SAP184,162.0454425,133.1398446,112.5411502,yellow
356,SAP185,166.356956,131.3847269,117.714059,cream
357,SAP185,166.5126904,131.5938428,118.0738561,cream
358,SAP186,174.3577987,147.5435938,132.3042212,chalky white
359,SAP186,174.125128,147.2355843,131.9294928,chalky white
360,SAP187,177.3093995,150.8807654,136.4760673,chalky white
361,SAP187,177.0143,150.4849375,135.9232893,chalky white
362,SAP188,184.6741617,155.5354665,139.5365662,pearl
363,SAP188,184.741124,155.682967,139.7513467,pearl
364,SAP189,160.9790629,100.0381416,88.29683988,light brown
365,SAP189,160.7184661,99.20706586,87.49900268,light brown
366,SAP190,166.2239462,103.6521175,91.22594289,light brown
367,SAP190,166.5059428,104.1882101,91.9113381,light brown
368,SAP191,182.2992351,151.8185569,135.0196288,chalky white
369,SAP191,182.5168845,152.0659878,135.3976466,pearl
370,SAP192,128.6255209,70.96697417,62.66437356,dark brown
371,SAP192,127.7659742,70.10985235,61.65446099,dark brown
372,SAP193,138.0867065,83.30478317,72.58586137,red
373,SAP193,137.6217233,82.65510832,71.87915292,red
374,SAP194,174.6376588,143.6434395,128.2078847,cream
375,SAP194,175.2858169,144.4477861,129.0130654,cream
376,SAP195,135.7857226,81.80099562,71.90298142,red
377,SAP195,134.8870242,80.3336778,70.28688198,dark brown
378,SAP196,171.0103785,134.5435052,116.2508292,cream
379,SAP196,171.4350591,135.1430937,117.1294771,cream
380,SAP197,123.7715944,71.21683584,57.95138729,dark brown
381,SAP197,124.2099697,71.5880699,58.51262874,dark brown
382,SAP198,188.729472,159.8981254,144.0440533,white
383,SAP198,189.0881058,160.2682936,144.4817613,white
384,SAP199,133.98819,75.30617953,66.48213151,dark brown
